"Brasil e Grande Regiao","Cor ou raca","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Brasil","Total","2836","2924","3011","2913","3006","2972","3052","3038","3001","2900","2889","3092"
"Brasil","Branca","3624","3730","3845","3703","3918","3844","3981","3969","3886","3757","3685","4015"
"Brasil","Preta","2091","2174","2213","2153","2181","2149","2231","2221","2181","2117","2185","2307"
"Brasil","Parda","2057","2129","2191","2168","2149","2197","2250","2249","2229","2168","2215","2338"
"Norte","Total","2270","2242","2280","2220","2142","2173","2320","2164","2204","2140","2211","2454"
"Norte","Branca","3271","3351","3235","3077","2918","3105","3341","2979","3083","2944","3099","3447"
"Norte","Preta","2198","1904","2026","1920","2057","1984","1939","1968","2014","1845","1947","2148"
"Norte","Parda","1958","1942","2034","2003","1934","1923","2023","1954","2009","1959","2011","2210"
"Nordeste","Total","1903","1986","2036","1991","2014","2061","2024","2054","2149","1965","1935","2025"
"Nordeste","Branca","2586","2729","2754","2701","2783","2934","2730","2837","3098","2696","2518","2762"
"Nordeste","Preta","1725","1704","1863","1739","1696","1642","1822","1723","1766","1660","1724","1709"
"Nordeste","Parda","1642","1711","1761","1751","1762","1786","1773","1807","1853","1740","1742","1793"
"Sudeste","Total","3223","3340","3475","3356","3533","3385","3529","3513","3407","3345","3290","3543"
"Sudeste","Branca","3958","4092","4267","4089","4433","4237","4491","4468","4289","4212","4037","4456"
"Sudeste","Preta","2195","2355","2371","2367","2399","2360","2413","2445","2311","2320","2395","2543"
"Sudeste","Parda","2283","2375","2437","2426","2399","2419","2486","2479","2431","2389","2465","2600"
"Sul","Total","3138","3220","3301","3200","3232","3276","3332","3360","3247","3144","3207","3351"
"Sul","Branca","3352","3441","3535","3433","3496","3540","3631","3634","3490","3394","3484","3667"
"Sul","Preta","2344","2397","2276","2312","2418","2357","2470","2527","2528","2352","2383","2570"
"Sul","Parda","2226","2324","2390","2308","2270","2349","2407","2562","2429","2329","2400","2505"
"Centro Oeste","Total","3295","3326","3399","3283","3263","3372","3375","3287","3277","3186","3290","3555"
"Centro Oeste","Branca","4274","4208","4208","4088","4277","4163","4137","4128","4193","4012","4205","4631"
"Centro Oeste","Preta","2533","2796","2702","2576","2610","2749","2635","2658","2694","2608","2636","2868"
"Centro Oeste","Parda","2663","2733","2871","2786","2666","2870","2990","2827","2731","2752","2815","2937"
